,2019,2020,2021,2022,2023,ZIP
0,31.666666666666664,43.80165289256198,28.333333333333332,25.833333333333336,48.333333333333336,14709
1,31.666666666666664,44.62809917355372,30.0,25.0,51.66666666666667,14020
2,35.0,44.62809917355372,29.166666666666668,25.833333333333336,41.66666666666667,14424
3,27.61904761904762,43.75,42.857142857142854,,,12043
4,29.411764705882355,38.84297520661157,22.689075630252102,25.833333333333336,38.333333333333336,13625
5,24.166666666666668,35.0,25.0,26.666666666666668,44.166666666666664,13326
6,35.833333333333336,46.28099173553719,25.0,28.57142857142857,45.76271186440678,13755
7,26.666666666666668,42.5,25.0,30.833333333333336,40.18691588785047,13775
8,25.833333333333336,38.01652892561984,17.5,22.5,,12934
9,33.33333333333333,40.49586776859504,25.210084033613445,23.333333333333332,45.83333333333333,14737
10,33.33333333333333,44.62809917355372,30.0,27.500000000000004,44.166666666666664,13068
11,32.5,41.32231404958678,32.5,29.166666666666668,48.333333333333336,13069
12,27.11864406779661,44.62809917355372,23.931623931623932,36.69724770642202,39.83050847457627,12078
13,28.333333333333332,42.14876033057851,20.833333333333336,25.0,46.61016949152542,13646
14,23.333333333333332,37.1900826446281,,30.0,30.833333333333336,13325
15,34.166666666666664,44.62809917355372,31.666666666666664,29.166666666666668,43.333333333333336,14850
16,30.0,45.45454545454545,33.33333333333333,30.0,44.166666666666664,14701
17,36.84210526315789,58.666666666666664,17.796610169491526,33.33333333333333,33.89830508474576,12946
18,30.0,46.28099173553719,26.666666666666668,30.833333333333336,45.0,13367
19,,,,22.689075630252102,37.5,14502
20,27.500000000000004,40.49586776859504,17.5,25.0,37.5,12953
21,,,,28.333333333333332,49.166666666666664,13114
22,31.372549019607842,40.49586776859504,21.666666666666668,30.0,40.0,13480
23,39.75903614457831,45.45454545454545,40.0,30.833333333333336,45.83333333333333,14120
24,30.833333333333336,45.45454545454545,25.0,29.411764705882355,48.30508474576271,13815
25,31.818181818181817,44.62809917355372,25.454545454545453,28.440366972477065,43.333333333333336,13669
26,33.04347826086956,38.46153846153847,27.67857142857143,21.929824561403507,46.15384615384615,12866
27,30.833333333333336,45.45454545454545,25.0,31.092436974789916,45.0,13460
28,38.333333333333336,45.45454545454545,35.833333333333336,29.565217391304348,50.0,14551
29,12.5,37.66233766233766,11.25,26.865671641791046,40.27777777777778,13367
30,19.166666666666668,41.228070175438596,17.094017094017094,32.20338983050847,46.666666666666664,12986
31,,,16.666666666666664,30.0,44.166666666666664,14564
32,33.33333333333333,43.80165289256198,28.333333333333332,26.666666666666668,38.655462184873954,14052
33,29.166666666666668,48.760330578512395,25.833333333333336,26.666666666666668,45.0,14043
34,35.0,47.93388429752066,24.166666666666668,29.166666666666668,45.0,13601
35,26.582278481012654,41.32231404958678,24.786324786324787,24.528301886792452,46.31578947368421,12887
36,32.5,47.25274725274725,36.666666666666664,31.666666666666664,43.333333333333336,13862
37,29.166666666666668,52.066115702479344,31.666666666666664,30.0,45.83333333333333,14591
38,30.909090909090907,42.14876033057851,28.333333333333332,25.0,47.5,13460
39,38.333333333333336,40.49586776859504,41.66666666666667,30.0,37.5,12590
40,29.87012987012987,41.46341463414634,21.052631578947366,29.72972972972973,29.545454545454547,13617
41,33.33333333333333,45.45454545454545,33.33333333333333,24.166666666666668,50.0,13069
42,34.166666666666664,45.0,33.33333333333333,29.166666666666668,47.5,14527
43,36.08247422680412,45.04504504504504,25.833333333333336,26.666666666666668,45.0,13053
44,23.076923076923077,36.36363636363637,19.166666666666668,26.666666666666668,31.666666666666664,12983
