ZIP,Producers
13327,8
14167,8
14011,6
13617,6
14055,6
12992,5
14522,4
12953,4
14145,4
13367,4
13752,4
12946,4
14052,4
12865,3
14564,3
13626,3
14009,3
14091,3
12810,3
14141,3
13601,3
12966,3
12023,3
13648,3
14113,3
13478,3
13676,3
14591,3
13460,3
13642,2
13159,2
14727,2
12522,2
12143,2
14062,2
14065,2
12095,2
14812,2
13114,2
14712,2
12167,2
12134,2
14058,2
13625,2
13612,2
13669,2
14512,2
12020,2
12917,2
12885,2
13778,2
14569,2
14036,2
12822,2
13630,2
12934,2
12093,2
12180,2
13646,2
12090,2
14739,2
12959,2
14889,2
13464,2
13069,2
13326,2
13040,2
13803,2
14502,1
13675,1
13782,1
12164,1
13775,1
14603,1
13673,1
14428,1
12887,1
12035,1
14729,1
12477,1
10598,1
14005,1
14170,1
12834,1
13830,1
12010,1
12983,1
12701,1
12494,1
13621,1
14120,1
13439,1
13501,1
13652,1
12996,1
14105,1
14039,1
12816,1
12401,1
13815,1
14060,1
13680,1
13302,1
12993,1
13053,1
13329,1
12986,1
14770,1
12723,1
13143,1
14747,1
14138,1
12446,1
12833,1
13061,1
13736,1
12302,1
13694,1
13808,1
13850,1
13661,1
13080,1
14075,1
12198,1
14806,1
12406,1
13788,1
14424,1
12866,1
14527,1
14867,1
14782,1
13605,1
12553,1
14519,1
13213,1
12980,1
13786,1
13323,1
13743,1
13459,1
14551,1
13740,1
12538,1
13619,1
13421,1
12430,1
13862,1
12528,1
13052,1
13122,1
13035,1
12590,1
12461,1
14489,1
14042,1
14432,1
14723,1
13407,1
10940,1
13668,1
14850,1
12092,1
14709,1
13360,1
14750,1
14706,1
12531,1
12827,1
13659,1
12057,1
14822,1
13485,1
13037,1
12765,1
14544,1
12942,1
14725,1
13033,1
12935,1
13167,1
12078,1
14813,1
13734,1
14450,1
13155,1
13452,1
14006,1
12455,1
12022,1
14418,1
14472,1
14025,1
13618,1
14001,1
13325,1
12910,1
12524,1
12930,1
13072,1
12936,1
12424,1
14070,1
12043,1
12851,1
12075,1
12873,1
12768,1
14020,1
12192,1
13697,1
13841,1
13733,1
12849,1
14865,1
14733,1
14807,1
14809,1
13754,1
14824,1
12957,1
13796,1
14427,1
14617,1
1237,1
12037,1
14787,1
14737,1
